venta_id,cliente_id,producto_id,cantidad,fecha
1,484,149,2,2022-11-26
2,973,145,3,2022-09-04
3,647,37,1,2022-12-03
4,228,77,4,2022-01-22
5,623,147,2,2022-04-06
6,307,158,4,2022-05-02
7,457,45,4,2022-09-07
8,160,146,4,2022-11-04
9,331,62,1,2022-11-30
10,776,164,4,2022-11-22
11,225,100,4,2022-05-17
12,983,52,3,2022-10-04
13,729,19,1,2022-11-16
14,504,109,2,2022-11-28
15,456,44,2,2022-03-02
16,45,7,2,2022-09-07
17,214,172,1,2022-04-05
18,59,117,2,2022-10-23
19,644,68,1,2022-07-03
20,616,34,3,2022-09-17
21,195,194,3,2022-10-14
22,925,69,1,2022-06-04
23,489,55,2,2022-07-05
24,157,10,1,2022-03-10
25,610,42,1,2022-11-22
26,226,41,4,2022-09-18
27,412,197,1,2022-04-25
28,205,122,4,2022-12-13
29,79,138,3,2022-01-08
30,124,10,4,2022-09-22
31,471,102,1,2022-09-28
32,940,188,3,2022-09-06
33,218,128,4,2022-04-15
34,516,179,1,2022-09-20
35,602,149,3,2022-08-12
36,104,136,4,2022-11-24
37,393,193,1,2022-09-28
38,631,92,1,2022-06-14
39,645,113,2,2022-03-24
40,824,78,2,2022-10-22
41,608,85,4,2022-05-14
42,980,30,4,2022-07-30
43,434,49,4,2022-11-09
44,331,9,1,2022-04-02
45,143,145,4,2022-12-03
46,800,69,1,2022-05-07
47,540,58,4,2022-07-10
48,278,185,1,2022-06-08
49,233,62,1,2022-11-27
50,529,52,2,2022-12-01
51,571,189,3,2022-01-10
52,90,40,1,2022-04-17
53,492,166,4,2022-03-28
54,199,171,2,2022-03-08
55,362,63,4,2022-03-03
56,441,147,4,2022-05-26
57,26,50,1,2022-06-02
58,25,161,1,2022-04-17
59,394,141,3,2022-05-28
60,507,78,1,2022-07-05
61,301,97,1,2022-12-15
62,339,190,3,2022-12-08
63,267,43,4,2022-06-27
64,461,177,3,2022-12-01
65,693,36,3,2022-09-23
66,456,122,3,2022-05-29
67,360,108,2,2022-09-04
68,68,10,4,2022-09-11
69,863,95,2,2022-01-29
70,412,6,2,2022-12-18
71,971,57,1,2022-09-23
72,491,129,3,2022-01-13
73,833,71,3,2022-02-16
74,49,186,2,2022-05-31
75,687,21,1,2022-02-19
76,564,92,1,2022-08-03
77,102,127,1,2022-05-12
78,216,80,4,2022-04-23
79,438,56,2,2022-09-09
80,700,116,4,2022-12-07
81,569,148,1,2022-02-22
82,559,182,1,2022-05-10
83,159,25,1,2022-11-20
84,489,156,3,2022-07-12
85,686,5,2,2022-03-20
86,242,120,3,2022-02-26
87,794,21,4,2022-04-07
88,753,18,3,2022-07-17
89,882,175,2,2022-05-15
90,5,198,3,2022-05-27
91,596,57,1,2022-06-21
92,820,93,4,2022-03-04
93,361,19,4,2022-03-06
94,459,128,1,2022-10-22
95,248,97,1,2022-07-30
96,566,193,1,2022-04-19
97,673,131,2,2022-10-09
98,946,170,3,2022-06-21
99,422,21,4,2022-01-12
100,923,40,3,2022-11-29
101,738,67,1,2022-08-08
102,15,153,1,2022-12-08
103,736,127,3,2022-10-13
104,573,55,4,2022-06-21
105,122,180,2,2022-08-24
106,277,172,3,2022-06-15
107,558,109,1,2022-07-06
108,453,98,1,2022-06-19
109,390,184,2,2022-02-21
110,294,183,3,2022-11-15
111,574,112,2,2022-07-08
112,598,198,2,2022-04-30
113,446,115,4,2022-04-15
114,210,117,4,2022-06-11
115,590,87,1,2022-10-22
116,714,81,3,2022-02-10
117,302,66,4,2022-12-30
118,909,19,1,2022-06-14
119,223,135,3,2022-11-17
120,734,118,1,2022-12-01
121,3,191,4,2022-06-09
122,990,42,1,2022-09-21
123,518,42,3,2022-12-19
124,93,59,3,2022-01-18
125,520,20,1,2022-06-22
126,428,73,3,2022-12-18
127,493,17,1,2022-02-02
128,235,27,3,2022-09-18
129,620,175,1,2022-07-29
130,161,2,1,2022-11-26
131,721,63,1,2022-06-13
132,752,62,2,2022-01-05
133,331,100,3,2022-02-03
134,333,19,4,2022-10-07
135,50,17,1,2022-05-25
136,523,69,2,2022-12-17
137,863,167,4,2022-03-12
138,668,117,1,2022-12-14
139,492,199,4,2022-08-18
140,582,81,2,2022-05-05
141,681,39,4,2022-10-05
142,272,36,1,2022-09-28
143,580,168,4,2022-12-23
144,867,173,4,2022-01-15
145,252,132,1,2022-08-30
146,560,153,2,2022-06-02
147,696,197,2,2022-02-22
148,832,158,4,2022-05-29
149,699,196,3,2022-12-24
150,90,29,4,2022-08-07
151,446,196,3,2022-04-23
152,332,51,4,2022-10-15
153,139,152,2,2022-10-04
154,357,14,4,2022-03-24
155,601,69,4,2022-08-06
156,274,146,3,2022-08-14
157,19,170,2,2022-09-27
158,983,57,3,2022-01-15
159,311,12,4,2022-10-17
160,870,17,1,2022-12-05
161,886,30,4,2022-09-22
162,978,88,4,2022-07-18
163,154,99,3,2022-06-07
164,390,23,1,2022-11-29
165,260,129,1,2022-07-26
166,620,79,3,2022-06-23
167,883,32,2,2022-07-03
168,797,9,1,2022-09-22
169,571,15,1,2022-09-03
170,125,156,3,2022-02-05
171,354,152,2,2022-09-16
172,273,188,2,2022-01-19
173,619,163,4,2022-01-23
174,811,27,4,2022-04-14
175,245,109,3,2022-08-29
176,848,76,2,2022-12-27
177,450,148,3,2022-07-23
178,930,65,4,2022-09-10
179,247,177,3,2022-05-22
180,520,109,3,2022-10-29
181,141,129,1,2022-05-23
182,362,10,1,2022-09-28
183,8,47,1,2022-11-03
184,478,123,4,2022-04-20
185,352,59,3,2022-01-08
186,996,96,1,2022-03-10
187,495,190,1,2022-07-09
188,606,103,1,2022-06-28
189,833,124,4,2022-03-04
190,427,86,4,2022-03-09
191,39,146,3,2022-07-25
192,593,112,3,2022-01-06
193,187,174,3,2022-04-29
194,596,160,1,2022-11-09
195,600,27,2,2022-01-31
196,754,18,4,2022-01-06
197,854,167,1,2022-07-26
198,93,177,1,2022-06-06
199,86,82,3,2022-03-08
200,44,172,3,2022-11-26
201,137,72,1,2022-12-19
202,421,54,4,2022-12-02
203,74,162,4,2022-10-16
204,548,71,1,2022-05-20
205,613,164,2,2022-10-27
206,988,146,2,2022-01-13
207,512,38,4,2022-06-01
208,156,187,3,2022-11-09
209,938,137,2,2022-12-18
210,255,200,2,2022-04-19
211,171,179,3,2022-12-22
212,981,35,2,2022-05-29
213,728,82,1,2022-07-23
214,170,133,2,2022-11-03
215,764,142,3,2022-01-21
216,872,158,1,2022-03-01
217,322,4,2,2022-01-21
218,567,167,4,2022-12-29
219,456,192,1,2022-09-02
220,944,153,1,2022-03-14
221,603,156,4,2022-03-17
222,790,194,4,2022-07-05
223,613,150,2,2022-03-19
224,155,159,2,2022-03-06
225,889,23,3,2022-12-08
226,349,48,3,2022-10-17
227,451,148,1,2022-02-25
228,876,125,4,2022-11-27
229,653,166,4,2022-09-16
230,173,55,3,2022-07-09
231,10,68,1,2022-01-06
232,740,88,1,2022-01-06
233,265,1,3,2022-07-10
234,438,135,3,2022-05-28
235,760,185,3,2022-09-15
236,247,95,2,2022-08-06
237,667,140,1,2022-03-31
238,546,106,1,2022-11-08
239,499,133,1,2022-12-18
240,129,108,3,2022-01-10
241,672,178,3,2022-03-28
242,601,42,3,2022-09-07
243,605,102,3,2022-11-22
244,327,124,4,2022-05-31
245,753,140,3,2022-04-23
246,835,103,2,2022-01-30
247,980,146,4,2022-05-08
248,404,194,4,2022-03-19
249,629,74,3,2022-02-24
250,606,108,1,2022-11-01
251,675,122,3,2022-02-03
252,611,17,1,2022-04-15
253,625,196,3,2022-06-21
254,359,71,3,2022-01-22
255,603,62,1,2022-10-14
256,858,41,1,2022-04-15
257,718,119,1,2022-05-29
258,17,162,1,2022-09-29
259,274,198,2,2022-10-03
260,685,45,1,2022-10-26
261,116,58,3,2022-06-21
262,861,179,3,2022-02-16
263,980,126,2,2022-04-24
264,693,162,1,2022-10-02
265,91,44,3,2022-10-31
266,82,15,2,2022-07-26
267,324,78,3,2022-08-30
268,961,70,2,2022-10-28
269,114,178,2,2022-07-15
270,769,101,4,2022-06-13
271,58,160,4,2022-06-25
272,154,195,1,2022-12-09
273,877,3,4,2022-09-28
274,404,86,2,2022-04-20
275,628,74,3,2022-06-21
276,855,51,3,2022-12-18
277,266,67,1,2022-07-21
278,315,76,4,2022-06-17
279,715,93,1,2022-04-12
280,41,176,2,2022-03-27
281,105,145,4,2022-05-22
282,901,7,1,2022-12-03
283,890,13,3,2022-08-01
284,193,120,3,2022-02-20
285,401,66,1,2022-04-22
286,278,4,1,2022-09-28
287,354,138,1,2022-03-06
288,749,88,2,2022-12-10
289,937,17,2,2022-07-02
290,733,52,3,2022-11-28
291,580,134,2,2022-01-10
292,709,69,2,2022-08-22
293,256,137,4,2022-10-25
294,651,21,2,2022-09-01
295,824,24,4,2022-12-17
296,947,4,2,2022-09-24
297,661,152,3,2022-04-28
298,99,187,1,2022-05-24
299,588,3,3,2022-07-20
300,282,68,2,2022-08-27
301,883,101,1,2022-11-30
302,403,168,1,2022-09-03
303,109,176,1,2022-12-12
304,700,54,4,2022-01-08
305,199,35,3,2022-06-01
306,303,56,4,2022-07-30
307,327,108,1,2022-06-07
308,154,40,3,2022-02-27
309,552,68,3,2022-03-27
310,645,46,2,2022-02-24
311,405,78,4,2022-07-20
312,462,141,4,2022-05-02
313,132,155,2,2022-04-18
314,791,6,4,2022-10-31
315,874,17,1,2022-05-12
316,84,164,1,2022-07-17
317,399,99,4,2022-02-16
318,754,81,2,2022-08-16
319,628,2,3,2022-09-02
320,109,77,4,2022-07-22
321,221,180,3,2022-09-18
322,904,66,2,2022-06-27
323,553,52,3,2022-01-24
324,368,92,2,2022-06-24
325,147,171,2,2022-10-01
326,112,22,1,2022-12-06
327,615,111,1,2022-09-18
328,558,107,2,2022-10-13
329,924,183,4,2022-01-01
330,494,67,1,2022-03-27
331,505,188,2,2022-12-04
332,475,186,3,2022-03-10
333,836,140,3,2022-01-31
334,890,69,4,2022-07-17
335,271,84,3,2022-04-01
336,995,103,3,2022-12-15
337,421,39,2,2022-01-16
338,897,13,3,2022-11-06
339,707,41,3,2022-10-03
340,367,57,3,2022-12-04
341,280,181,3,2022-06-11
342,283,12,2,2022-07-11
343,40,13,3,2022-05-31
344,959,120,4,2022-12-31
345,189,97,1,2022-04-23
346,164,57,4,2022-09-30
347,994,40,1,2022-06-25
348,989,118,4,2022-05-29
349,536,80,1,2022-06-27
350,536,128,1,2022-08-11
351,4,173,1,2022-09-16
352,835,35,1,2022-09-30
353,290,3,2,2022-07-08
354,953,120,4,2022-11-02
355,433,5,1,2022-03-31
356,471,11,4,2022-12-09
357,181,126,3,2022-09-19
358,248,71,1,2022-06-05
359,628,117,4,2022-07-19
360,279,184,2,2022-02-24
361,877,138,4,2022-09-11
362,581,106,1,2022-06-22
363,863,116,3,2022-07-19
364,254,162,4,2022-04-12
365,181,67,3,2022-10-12
366,830,200,2,2022-05-31
367,681,31,4,2022-04-21
368,825,75,4,2022-09-23
369,509,71,2,2022-04-01
370,761,66,2,2022-06-26
371,700,70,2,2022-08-19
372,566,41,1,2022-01-29
373,326,191,1,2022-10-28
374,357,160,4,2022-07-14
375,825,20,4,2022-11-03
376,650,185,4,2022-08-27
377,680,178,3,2022-12-23
378,391,153,2,2022-09-24
379,615,140,4,2022-08-02
380,934,199,2,2022-03-23
381,85,39,1,2022-05-08
382,317,145,2,2022-09-19
383,212,45,3,2022-03-08
384,515,139,3,2022-03-03
385,384,70,2,2022-05-13
386,691,125,3,2022-05-17
387,342,151,3,2022-01-28
388,815,91,1,2022-07-30
389,964,70,4,2022-07-24
390,988,166,3,2022-09-10
391,844,130,4,2022-02-07
392,38,84,2,2022-02-12
393,511,89,2,2022-04-27
394,420,79,3,2022-07-09
395,751,113,2,2022-02-15
396,169,93,1,2022-06-15
397,965,72,3,2022-11-01
398,909,165,3,2022-07-22
399,343,49,3,2022-08-21
400,826,52,2,2022-09-02
401,306,33,2,2022-07-28
402,542,22,3,2022-09-05
403,702,114,4,2022-10-22
404,869,133,2,2022-11-23
405,537,18,2,2022-06-07
406,112,166,3,2022-01-01
407,411,118,4,2022-08-05
408,947,117,3,2022-09-06
409,206,37,2,2022-03-10
410,185,64,3,2022-01-30
411,382,138,3,2022-04-25
412,496,79,3,2022-01-08
413,379,170,4,2022-10-02
414,47,123,3,2022-11-11
415,886,176,2,2022-12-01
416,740,44,3,2022-02-05
417,551,82,4,2022-11-07
418,528,87,1,2022-02-13
419,504,16,4,2022-06-04
420,22,54,3,2022-03-18
421,213,102,1,2022-03-19
422,310,163,3,2022-04-11
423,661,98,4,2022-01-30
424,968,156,1,2022-02-08
425,753,2,1,2022-08-27
426,272,94,3,2022-01-13
427,571,141,3,2022-05-02
428,799,169,4,2022-05-24
429,938,59,3,2022-06-21
430,202,69,1,2022-09-04
431,32,119,2,2022-09-04
432,443,92,2,2022-02-14
433,162,181,4,2022-09-10
434,767,45,3,2022-10-18
435,254,148,4,2022-07-26
436,521,24,2,2022-01-07
437,977,189,2,2022-08-30
438,651,91,3,2022-04-20
439,480,94,1,2022-04-24
440,10,58,3,2022-11-03
441,726,155,2,2022-10-29
442,505,154,1,2022-10-03
443,785,128,4,2022-04-06
444,836,7,2,2022-10-21
445,560,170,4,2022-07-08
446,436,47,1,2022-12-26
447,111,53,4,2022-10-15
448,153,187,2,2022-06-03
449,635,38,3,2022-02-27
450,917,197,4,2022-12-04
451,869,53,2,2022-02-19
452,102,143,2,2022-07-26
453,753,154,1,2022-02-21
454,833,48,2,2022-12-08
455,191,95,3,2022-05-30
456,729,147,3,2022-02-22
457,563,137,4,2022-08-01
458,804,64,4,2022-03-07
459,81,93,4,2022-08-20
460,489,182,4,2022-10-26
461,895,125,3,2022-12-04
462,88,179,1,2022-05-31
463,194,39,4,2022-07-24
464,104,4,1,2022-11-16
465,783,126,2,2022-09-12
466,96,3,2,2022-05-17
467,423,64,4,2022-05-15
468,891,29,2,2022-02-23
469,198,116,1,2022-03-06
470,1,11,1,2022-01-02
471,407,97,2,2022-05-12
472,378,102,4,2022-11-30
473,167,186,1,2022-02-01
474,509,155,1,2022-12-22
475,638,21,3,2022-12-26
476,313,39,4,2022-08-31
477,593,102,3,2022-07-11
478,418,46,2,2022-05-22
479,763,66,2,2022-05-28
480,681,91,3,2022-03-30
481,477,164,4,2022-02-18
482,73,111,1,2022-05-16
483,141,82,2,2022-07-10
484,582,123,4,2022-05-29
485,262,193,4,2022-03-28
486,340,191,2,2022-01-08
487,308,99,2,2022-08-11
488,245,35,4,2022-12-23
489,515,159,1,2022-01-16
490,337,156,3,2022-10-23
491,575,103,2,2022-04-16
492,561,129,3,2022-10-10
493,76,25,4,2022-04-14
494,880,43,3,2022-12-27
495,175,84,1,2022-05-26
496,109,195,4,2022-02-04
497,183,191,1,2022-04-23
498,192,51,4,2022-11-04
499,65,130,1,2022-02-22
500,849,126,4,2022-12-13
501,963,192,1,2022-03-22
502,474,69,4,2022-04-14
503,783,9,1,2022-11-18
504,100,2,4,2022-08-30
505,544,162,1,2022-01-31
506,864,188,2,2022-11-13
507,128,189,3,2022-07-11
508,452,159,4,2022-12-23
509,914,10,1,2022-12-27
510,369,114,2,2022-08-21
511,851,76,4,2022-04-08
512,43,164,4,2022-02-03
513,884,85,4,2022-08-31
514,419,49,3,2022-02-28
515,488,70,1,2022-09-16
516,78,177,1,2022-01-17
517,826,131,4,2022-03-19
518,801,133,4,2022-07-25
519,270,189,4,2022-10-29
